customer_id,rfm_score,segment,recency_days,revenue
Dennis_Kane,433,Others,19,3317
Ed_Braxton,343,loyals,48,3645
Neil_Franzsisch,111,lost n cheap,525,377
Jasper_Cacioppo,211,Others,114,72
Jim_Mitchum,411,Others,8,865
Barry_Weirich,111,lost n cheap,212,386
Kunst_Miller,434,big spenders,28,4909
Laurel_Elliston,422,Others,21,1469
Nat_Gilpin,312,Others,48,1871
Cindy_Stewart,324,big spenders,58,5691
Eugene_Hildebrand,243,loyals,152,3083
Daniel_Raglin,334,big spenders,50,8351
Stewart_Visinsky,144,loyals,320,4104
Frank_Hawley,344,loyals,37,4256
Dennis_Bolton,111,lost n cheap,264,1081
Matt_Collins,432,Others,27,1304
Dario_Medina,232,Others,114,1322
Michael_Moore,444,best.customers,7,3794
Tamara_Willingham,334,big spenders,64,5279
Ann_Steele,231,Others,92,833
Andy_Yotov,411,Others,14,497
Benjamin_Patterson,312,Others,39,1182
Shirley_Daniels,144,loyals,200,6122
Chris_Selesnick,443,loyals,26,2754
Mick_Crebagga,342,loyals,41,2220
Karen_Bern,433,Others,4,3153
Frank_Gastineau,332,Others,34,1383
Todd_Sumrall,324,big spenders,36,11892
Russell_Applegate,444,best.customers,12,4793
Joy_Daniels,221,Others,112,386
Dave_Hallsten,124,big spenders,277,4934
Erica_Hackney,121,Others,405,826
Arianne_Irving,444,best.customers,13,4376
Ionia_McGrath,113,Others,409,2872
Ken_Heidel,344,loyals,58,3919
Logan_Currie,443,loyals,13,2632
Greg_Maxwell,214,big spenders,117,6050
Alejandro_Grove,113,Others,278,2584
Evan_Bailliet,222,Others,82,1187
Adrian_Barton,344,loyals,41,14474
Vivek_Grady,111,lost n cheap,286,427
Benjamin_Farhat,312,Others,65,1586
Greg_Matthias,223,Others,152,3164
Don_Miller,112,Others,481,1377
Karl_Braun,142,loyals,296,1570
Bruce_Stewart,433,Others,1,2563
Georgia_Rosenberg,112,Others,1136,1284
Laurel_Workman,212,Others,88,2238
Craig_Molinari,114,lost,1035,3985
Chris_Cortes,444,best.customers,20,3913
Jeremy_Lonsdale,323,Others,49,3173
Mitch_Webber,434,big spenders,17,5341
Art_Foster,111,lost n cheap,415,862
Michael_Grace,212,Others,116,1241
Darren_Powers,241,loyals,126,1052
Elizabeth_Moffitt,333,Others,55,2340
Paul_Gonzalez,342,loyals,57,1988
Bradley_Nguyen,412,Others,9,1460
Matt_Connell,233,Others,112,2258
Janet_Molinari,312,Others,37,1804
Dave_Brooks,434,big spenders,16,4532
Liz_MacKendrick,112,Others,391,1347
Duane_Benoit,432,Others,12,1156
Christine_Kargatis,213,Others,120,2946
Stefania_Perrino,344,loyals,47,5442
Thomas_Boland,313,Others,58,3589
Bradley_Talbott,213,Others,91,2685
Mark_Haberlin,111,lost n cheap,376,401
John_Grady,122,Others,223,1507
Cyma_Kinney,242,loyals,82,1581
Sam_Zeldin,343,loyals,35,3627
Paul_Knutson,112,Others,483,1441
Duane_Huffman,111,lost n cheap,776,1043
Arthur_Prichep,243,loyals,98,3324
Evan_Henry,221,Others,105,924
Vivek_Sundaresam,111,lost n cheap,221,1055
Eva_Jacobs,313,Others,57,2657
James_Galang,444,best.customers,1,6367
Pete_Kriz,444,best.customers,9,8647
Muhammed_Yedwab,344,loyals,71,4154
Jack_O'Briant,343,loyals,57,3256
Nick_Radford,113,Others,210,2368
Clytie_Kelty,343,loyals,43,2373
Brendan_Sweed,323,Others,35,2454
Greg_Guthrie,342,loyals,43,2223
Nora_Preis,234,big spenders,138,7903
Robert_Barroso,111,lost n cheap,648,222
Roland_Schwarz,334,big spenders,36,4160
Debra_Catini,412,Others,23,1174
Anthony_Johnson,234,big spenders,166,4502
Bryan_Mills,142,loyals,218,1339
Dennis_Pardue,144,loyals,358,5482
George_Zrebassa,213,Others,157,2454
Deborah_Brumfield,334,big spenders,53,4656
Roger_Demir,442,loyals,21,1420
Kristina_Nunn,233,Others,98,2281
Philip_Brown,232,Others,97,1456
Eric_Hoffmann,131,Others,217,684
Shui_Tom,231,Others,125,432
Bill_Tyler,122,Others,302,2187
Laura_Armstrong,244,loyals,154,8675
Marc_Crier,233,Others,76,2727
Jennifer_Patt,332,Others,37,1669
Rick_Duston,334,big spenders,72,4272
Delfina_Latchford,432,Others,22,1459
Erin_Smith,444,best.customers,28,4659
Ed_Jacobs,112,Others,302,2163
Anthony_Jacobs,334,big spenders,75,4868
Daniel_Byrd,432,Others,21,2172
Magdelene_Morse,212,Others,168,1315
Denny_Ordway,242,loyals,133,1299
Christine_Sundaresam,443,loyals,6,3202
John_Castell,243,loyals,158,2773
Deanra_Eno,113,Others,719,2550
Anthony_Rawles,334,big spenders,58,4523
Natalie_DeCherney,444,best.customers,27,4326
Charles_Sheldon,111,lost n cheap,232,844
Linda_Cazamias,334,big spenders,41,4492
Victoria_Pisteka,333,Others,75,3361
Lena_Hernandez,443,loyals,21,2296
Patrick_Gardner,343,loyals,36,3087
Ben_Wallace,122,Others,203,1739
Barbara_Fisher,231,Others,91,600
Lisa_Ryan,212,Others,132,1879
Luke_Foster,434,big spenders,22,3931
Stephanie_Phelps,142,loyals,386,1873
Maureen_Gastineau,213,Others,92,2350
Lena_Creighton,444,best.customers,16,7661
Ben_Ferrer,444,best.customers,16,5907
Emily_Burns,243,loyals,100,2768
Emily_Ducich,233,Others,135,3486
Alan_Schoenberger,414,big spenders,22,4261
Tom_Boeckenhauer,134,big spenders,202,9133
Michelle_Moray,333,Others,61,2750
Rick_Hansen,313,Others,32,3622
John_Lee,444,best.customers,21,9801
Corey_Roper,111,lost n cheap,470,476
Rob_Williams,243,loyals,89,3279
Nicole_Hansen,133,Others,189,2673
Tom_Stivers,212,Others,172,2054
Alyssa_Tate,422,Others,21,1171
Kelly_Lampkin,434,big spenders,16,5016
Don_Jones,333,Others,48,2502
Jim_Karlsson,333,Others,61,3761
Nathan_Mautz,234,big spenders,160,6460
Eileen_Kiefer,312,Others,44,1302
Nat_Carroll,113,Others,224,2462
Giulietta_Dortch,412,Others,5,1888
David_Philippe,111,lost n cheap,812,1059
Katrina_Edelman,432,Others,26,1686
Phillina_Ober,211,Others,86,1056
Jas_O'Carroll,222,Others,92,1935
Kean_Nguyen,312,Others,52,2172
Liz_Willingham,112,Others,205,1259
Sean_Christensen,434,big spenders,29,3980
Darrin_Sayre,212,Others,93,1762
Logan_Haushalter,142,loyals,385,1740
Astrea_Jones,311,Others,74,629
Sandra_Flanagan,331,Others,59,764
Katherine_Ducich,322,Others,41,1889
Aaron_Hawkins,432,Others,12,1744
Becky_Castell,143,loyals,202,2934
Vicky_Freymann,411,Others,13,849
